#configname,clex_mut
SCEL8_4_1_2_0_1_2/22,-0.331320484598
SCEL8_4_1_2_0_1_2/23,-0.193633148252
SCEL8_4_1_2_0_1_2/3,-0.34085463095
SCEL8_4_1_2_0_1_2/4,-0.305951230057
SCEL8_4_1_2_0_1_2/5,-0.372443879441
SCEL8_4_1_2_0_1_2/6,-0.389751875575
SCEL8_4_1_2_0_1_2/7,-0.363076518898
SCEL8_4_1_2_0_1_2/8,-0.349554553776
SCEL8_4_1_2_0_1_2/9,-0.379994768296
SCEL8_4_2_1_0_0_2/0,-0.144259302231
SCEL8_4_2_1_0_0_2/1,-0.240887562117
SCEL8_4_2_1_0_0_2/10,-0.341979404356
SCEL8_4_2_1_0_0_2/11,-0.260070052029
SCEL8_4_2_1_0_0_2/12,-0.168192027489
SCEL8_4_2_1_0_0_2/13,-0.325945137954
SCEL8_4_2_1_0_0_2/14,-0.305771717524
SCEL8_4_2_1_0_0_2/15,-0.282221450475
SCEL8_4_2_1_0_0_2/2,-0.344188597639
SCEL8_4_2_1_0_0_2/3,-0.393503094494
SCEL8_4_2_1_0_0_2/4,-0.33091845394
SCEL8_4_2_1_0_0_2/5,-0.372650847755
SCEL8_4_2_1_0_0_2/6,-0.357897985028
SCEL8_4_2_1_0_0_2/7,-0.282451735571
SCEL8_4_2_1_0_0_2/8,-0.406841425416
SCEL8_4_2_1_0_0_2/9,-0.364803375698
SCEL8_4_2_1_1_2_0/0,-0.16089192961
SCEL8_4_2_1_1_2_0/1,-0.309156340405
SCEL8_4_2_1_1_2_0/10,-0.359040814342
SCEL8_4_2_1_1_2_0/11,-0.402935023034
SCEL8_4_2_1_1_2_0/12,-0.438778745624
SCEL8_4_2_1_1_2_0/13,-0.341412965461
SCEL8_4_2_1_1_2_0/14,-0.354902123621
SCEL8_4_2_1_1_2_0/15,-0.198713617365
SCEL8_4_2_1_1_2_0/16,-0.400686308041
SCEL8_4_2_1_1_2_0/17,-0.303773763485
SCEL8_4_2_1_1_2_0/2,-0.361748664856
SCEL8_4_2_1_1_2_0/3,-0.27252836418
SCEL8_4_2_1_1_2_0/4,-0.337366419364
SCEL8_4_2_1_1_2_0/5,-0.410405224856
SCEL8_4_2_1_1_2_0/6,-0.401076078654
SCEL8_4_2_1_1_2_0/7,-0.351215714653
SCEL8_4_2_1_1_2_0/8,-0.381036396331
SCEL8_4_2_1_1_2_0/9,-0.368124945756
SCEL8_4_2_1_1_3_1/0,-0.173151615157
SCEL8_4_2_1_1_3_1/1,-0.283501178967
SCEL8_4_2_1_1_3_1/10,-0.394232574433
SCEL8_4_2_1_1_3_1/11,-0.397250512445
SCEL8_4_2_1_1_3_1/12,-0.397031697198
SCEL8_4_2_1_1_3_1/13,-0.381579463788
SCEL8_4_2_1_1_3_1/14,-0.310985128277
SCEL8_4_2_1_1_3_1/15,-0.44469215903
SCEL8_4_2_1_1_3_1/16,-0.368248644439
SCEL8_4_2_1_1_3_1/17,-0.20434479169
SCEL8_4_2_1_1_3_1/2,-0.315924623728
SCEL8_4_2_1_1_3_1/3,-0.379233720636
SCEL8_4_2_1_1_3_1/4,-0.374013808974
SCEL8_4_2_1_1_3_1/5,-0.399680225823
SCEL8_4_2_1_1_3_1/6,-0.371519740275
SCEL8_4_2_1_1_3_1/7,-0.417918395102
SCEL8_4_2_1_1_3_1/8,-0.425942787534
SCEL8_4_2_1_1_3_1/9,-0.395895594072
SCEL8_4_2_1_1_3_2/0,-0.178828526238
SCEL8_4_2_1_1_3_2/1,-0.285090338675
SCEL8_4_2_1_1_3_2/10,-0.443431738867
SCEL8_4_2_1_1_3_2/11,-0.318057051074
SCEL8_4_2_1_1_3_2/12,-0.212512378841
SCEL8_4_2_1_1_3_2/13,-0.340395647276
SCEL8_4_2_1_1_3_2/14,-0.47636430404
SCEL8_4_2_1_1_3_2/15,-0.416961215667
SCEL8_4_2_1_1_3_2/2,-0.308368780424
SCEL8_4_2_1_1_3_2/3,-0.413852726606
SCEL8_4_2_1_1_3_2/4,-0.424236116381
SCEL8_4_2_1_1_3_2/5,-0.420595978401
SCEL8_4_2_1_1_3_2/6,-0.309083253943
SCEL8_4_2_1_1_3_2/7,-0.388767956393
SCEL8_4_2_1_1_3_2/8,-0.449858852725
SCEL8_4_2_1_1_3_2/9,-0.384637830218
SCEL8_8_1_1_0_0_3/0,-0.136209088442
SCEL8_8_1_1_0_0_3/1,-0.245204044259
SCEL8_8_1_1_0_0_3/10,-0.352104622951
SCEL8_8_1_1_0_0_3/11,-0.310166307506
SCEL8_8_1_1_0_0_3/12,-0.342137704767
SCEL8_8_1_1_0_0_3/13,-0.282914008592
SCEL8_8_1_1_0_0_3/14,-0.258767290146
SCEL8_8_1_1_0_0_3/15,-0.401915673046
SCEL8_8_1_1_0_0_3/16,-0.32902963242
SCEL8_8_1_1_0_0_3/17,-0.163529569674
SCEL8_8_1_1_0_0_3/2,-0.28981790224
SCEL8_8_1_1_0_0_3/3,-0.32639495086
SCEL8_8_1_1_0_0_3/4,-0.326314294647
SCEL8_8_1_1_0_0_3/5,-0.364072925646
SCEL8_8_1_1_0_0_3/6,-0.283099077411
SCEL8_8_1_1_0_0_3/7,-0.387202850792
